system,network_label,network_file,suggested_min,suggested_max
rossler,Complete,completenet.mat,0,0.0010703
rossler,Regular1,regularnet1.mat,0,0.02651
rossler,Regular2,regularnet2.mat,0,0.0132
rossler,Regular3,regularnet3.mat,0,0.008833
rossler,Regular4,regularnet4.mat,0,0.006611
rossler,Regular5,regularnet5.mat,0,0.0052778
rossler,WS1,WattsStrogatz1.mat,0,0.008129
rossler,WS2,WattsStrogatz2.mat,0,0.009592
rossler,WS3,WattsStrogatz3.mat,0,0.01166
rossler,WS4,WattsStrogatz4.mat,0,0.0132
rossler,WS5,WattsStrogatz5.mat,0,0.02112
rossler,NW1,NewmanWatts1.mat,0,0.0264
rossler,NW2,NewmanWatts2.mat,0,0.0176
rossler,NW3,NewmanWatts3.mat,0,0.0132
rossler,NW4,NewmanWatts4.mat,0,0.01056
rossler,NW5,NewmanWatts5.mat,0,0.0088
rossler,SF1,BAnet1.mat,0,0.10494
rossler,SF2,BAnet2.mat,0,0.10494
rossler,SF3,BAnet3.mat,0,0.10494
rossler,SF4,BAnet4.mat,0,0.10494
rossler,SF5,BAnet5.mat,0,0.10494
rossler,Star,starnet.mat,0,0.10494
mchialvo,Complete,completenet.mat,0,2.717e-05
mchialvo,Regular1,regularnet1.mat,0,0.0006721
mchialvo,Regular2,regularnet2.mat,0,0.0003355
mchialvo,Regular3,regularnet3.mat,0,0.0002288
mchialvo,Regular4,regularnet4.mat,0,0.0001672
mchialvo,Regular5,regularnet5.mat,0,0.0001342
mchialvo,WS1,WattsStrogatz1.mat,0,0.0002068
mchialvo,WS2,WattsStrogatz2.mat,0,0.0002442
mchialvo,WS3,WattsStrogatz3.mat,0,0.0002981
mchialvo,WS4,WattsStrogatz4.mat,0,0.0003355
mchialvo,WS5,WattsStrogatz5.mat,0,0.0005379
mchialvo,NW1,NewmanWatts1.mat,0,0.0006721
mchialvo,NW2,NewmanWatts2.mat,0,0.0004477
mchialvo,NW3,NewmanWatts3.mat,0,0.0003355
mchialvo,NW4,NewmanWatts4.mat,0,0.0002684
mchialvo,NW5,NewmanWatts5.mat,0,0.0002233
mchialvo,SF1,BAnet1.mat,0,0.002684
mchialvo,SF2,BAnet2.mat,0,0.002684
mchialvo,SF3,BAnet3.mat,0,0.002684
mchialvo,SF4,BAnet4.mat,0,0.002684
mchialvo,SF5,BAnet5.mat,0,0.002684
mchialvo,Star,starnet.mat,0,0.002684
henon,Complete,completenet.mat,0,0.0001793
henon,Regular1,regularnet1.mat,0,0.004433
henon,Regular2,regularnet2.mat,0,0.002222
henon,Regular3,regularnet3.mat,0,0.001485
henon,Regular4,regularnet4.mat,0,0.001111
henon,Regular5,regularnet5.mat,0,0.000891
henon,WS1,WattsStrogatz1.mat,0,0.001364
henon,WS2,WattsStrogatz2.mat,0,0.001617
henon,WS3,WattsStrogatz3.mat,0,0.001969
henon,WS4,WattsStrogatz4.mat,0,0.002222
henon,WS5,WattsStrogatz5.mat,0,0.003542
henon,NW1,NewmanWatts1.mat,0,0.004455
henon,NW2,NewmanWatts2.mat,0,0.002959
henon,NW3,NewmanWatts3.mat,0,0.002222
henon,NW4,NewmanWatts4.mat,0,0.001782
henon,NW5,NewmanWatts5.mat,0,0.001485
henon,SF1,BAnet1.mat,0,0.0176
henon,SF2,BAnet2.mat,0,0.0176
henon,SF3,BAnet3.mat,0,0.0176
henon,SF4,BAnet4.mat,0,0.0176
henon,SF5,BAnet5.mat,0,0.0176
henon,Star,starnet.mat,0,0.0176
